order,name,type,isnumeric,format,vallab,varlab
1,geoid,str20,0,%20s,,Id
2,geoid2,str11,0,%11s,,Id2
3,geodisplaylabel,str55,0,%55s,,Geography
4,hc01_est_vc01,str41,0,%41s,,All families  - Total; Estimate; Families
5,hc01_moe_vc01,str48,0,%48s,,All families  - Total; Margin of Error; Families
6,hc02_est_vc01,str63,0,%63s,,All families  - Percent below poverty level; Estimate; Families
7,hc02_moe_vc01,str70,0,%70s,,All families  - Percent below poverty level; Margin of Error; Families
8,hc03_est_vc01,str52,0,%52s,,Married-couple families  - Total; Estimate; Families
9,hc03_moe_vc01,str59,0,%59s,,Married-couple families  - Total; Margin of Error; Families
10,hc04_est_vc01,str74,0,%74s,,Married-couple families  - Percent below poverty level; Estimate; Families
11,hc04_moe_vc01,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; Familie
12,hc05_est_vc01,str67,0,%67s,,"Female householder, no husband present  - Total; Estimate; Families"
13,hc05_moe_vc01,str74,0,%74s,,"Female householder, no husband present  - Total; Margin of Error; Families"
14,hc06_est_vc01,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
15,hc06_moe_vc01,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
16,hc01_est_vc02,strL,0,%9s,,All families  - Total; Estimate; With related children of householder under 18 y
17,hc01_moe_vc02,strL,0,%9s,,All families  - Total; Margin of Error; With related children of householder und
18,hc02_est_vc02,strL,0,%9s,,All families  - Percent below poverty level; Estimate; With related children of 
19,hc02_moe_vc02,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; With related child
20,hc03_est_vc02,strL,0,%9s,,Married-couple families  - Total; Estimate; With related children of householder
21,hc03_moe_vc02,strL,0,%9s,,Married-couple families  - Total; Margin of Error; With related children of hous
22,hc04_est_vc02,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; With related c
23,hc04_moe_vc02,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; With re
24,hc05_est_vc02,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; With related children"
25,hc05_moe_vc02,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; With related c"
26,hc06_est_vc02,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
27,hc06_moe_vc02,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
28,hc01_est_vc03,strL,0,%9s,,All families  - Total; Estimate; With related children of householder under 18 y
29,hc01_moe_vc03,strL,0,%9s,,All families  - Total; Margin of Error; With related children of householder und
30,hc02_est_vc03,strL,0,%9s,,All families  - Percent below poverty level; Estimate; With related children of 
31,hc02_moe_vc03,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; With related child
32,hc03_est_vc03,strL,0,%9s,,Married-couple families  - Total; Estimate; With related children of householder
33,hc03_moe_vc03,strL,0,%9s,,Married-couple families  - Total; Margin of Error; With related children of hous
34,hc04_est_vc03,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; With related c
35,hc04_moe_vc03,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; With re
