="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5",="Factor6"
="qoi9mean_z",=".8529015",=".0257436",=".0418165",="-.0070286",="-.1430158",="-.0179046"
="qoi15mean_z",=".734361",=".4148208",=".0343488",="-.015197",=".0168294",=".0190036"
="qoi16mean_z",=".906388",="-.0632109",="-.0103291",="-.1075216",="-.0510323",=".0341003"
="qoi17mean_z",=".8729438",="-.0069497",=".263564",="-.0159271",=".0477971",="-.0050849"
="qoi27mean_z",=".8468432",="-.1713791",=".2144591",="-.0304501",=".0743057",="-.008232"
="qoi30mean_z",=".8811787",="-.0914892",="-.2453737",="-.0208334",=".0298096",="-.0007961"
="qoi31mean_z",=".9135978",="-.0178511",="-.1023448",="-.1213345",=".0105516",="-.0092829"
="qoi32mean_z",=".7487861",="-.2034247",="-.1218404",=".1286973",=".0343048",=".0283544"
="qoi33mean_z",=".7997718",="-.1923071",=".1044258",=".1430488",="-.0539671",=".0000483"
="qoi34mean_z",=".8779827",=".0466913",="-.1675412",=".0392822",=".0326647",="-.0349503"
="qoi64mean_z",=".4705481",=".5184653",=".002798",=".0812834",=".0087412",=".000883"
