="",="Factor 1",="Factor 2",="Factor 3",="Uniqueness"
="qoi10mean_z",=".3949898",="-.0691766",=".7272075",=".3103669"
="qoi20mean_z",=".413539",="-.0115978",=".2643331",=".758979"
="qoi24mean_z",=".7373002",="-.3531399",="-.001814",=".3316774"
="qoi41mean_z",=".6710525",="-.3415533",=".1326852",=".4154246"
="qoi44mean_z",=".8222485",="-.3947826",=".0214",=".1675962"
="qoi64mean_z",=".7235871",="-.3376386",="-.2106682",=".3180408"
="qoi87mean_z",=".7309123",="-.3402017",="-.1860322",=".315422"
="qoi98mean_z",=".5652423",="-.3642933",="-.4335322",=".3598413"
="qoi103mean_z",=".5461714",=".6063583",="-.0051519",=".3339999"
="qoi104mean_z",=".5567584",=".5907595",="-.0420423",=".3392557"
="qoi105mean_z",=".6407392",=".4280216",="-.0710746",=".4011992"
="qoi109mean_z",=".6027796",=".4379595",="-.0651444",=".4406045"
="qoi111mean_z",=".5869952",=".383129",=".0192268",=".5082792"
="qoi112mean_z",=".7803133",=".2182552",="-.1049752",=".3324561"
="qoi128mean_z",=".3516309",="-.1374992",=".6065123",=".4895925"
