# M4 golden-master diff summary
# generated:  9 Jun 2026 20:48:20
# tier_filter: full
# rows_compared: 8324
# format: <STATUS>  <tier>  <filetype>  <consolidated_relpath>  <details>
#
PASS                    full    csv     output/csv/acs/2017/acs_2017_S0601_dict.csv  byte-identical
PASS                    full    dta     output/csv/acs/2017/acs_2017_S0601_dict.dta  cf _all: 0 cumulative diffs
PASS                    full    csv     output/csv/acs/2017/acs_2017_S1501_dict.csv  byte-identical
PASS                    full    dta     output/csv/acs/2017/acs_2017_S1501_dict.dta  cf _all: 0 cumulative diffs
PASS                    full    csv     output/csv/acs/2017/acs_2017_S1702_dict.csv  byte-identical
PASS                    full    dta     output/csv/acs/2017/acs_2017_S1702_dict.dta  cf _all: 0 cumulative diffs
PASS                    full    csv     output/csv/acs/2017/acs_2017_S1901_dict.csv  byte-identical
PASS                    full    dta     output/csv/acs/2017/acs_2017_S1901_dict.dta  cf _all: 0 cumulative diffs
MISSING_PREDECESSOR     full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2009.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/acs/acs_ca_census_tract_clean_2009.dta
PASS                    full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2010.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2011.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2012.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2013.dta  cf _all: 0 cumulative diffs
MISSING_PREDECESSOR     full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2014.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/acs/acs_ca_census_tract_clean_2014.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2015.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/acs/acs_ca_census_tract_clean_2015.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2016.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/acs/acs_ca_census_tract_clean_2016.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2017.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/acs/acs_ca_census_tract_clean_2017.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2018.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/acs/acs_ca_census_tract_clean_2018.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/acs/acs_ca_census_tract_clean_2019.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/acs/acs_ca_census_tract_clean_2019.dta
PASS                    full    dta     data/cleaned/acs/acs_ca_census_tract_clean.dta  cf _all: 0 cumulative diffs
READ_ERROR              full    dta     data/cleaned/k12_postsec_distance/clean/k12_postsec_distance.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/k12_postsec_distance/clean/k12_postsec_mindistance.dta  rc=9 on cf _all
