="Regressing Overall Enrollment on Score VA"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="",="",="",="",="",="",="",=""
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="est25",="est26",="est27",="est28",="est29",="est30",="est31",="est32"

="va_ela",="0.019***",="0.019***",="0.010***",="0.009***",="0.018***",="0.018***",="0.012***",="0.011***",="0.016***",="0.016***",="0.010***",="0.010***",="0.016***",="0.016***",="0.010***",="0.009***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="va_math",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.028***",="0.028***",="0.014***",="0.013***",="0.024***",="0.024***",="0.012***",="0.012***",="0.019***",="0.018***",="0.010***",="0.009***",="0.019***",="0.018***",="0.010***",="0.010***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.002)",="(0.002)"

="N",="1249750",="1249750",="1249750",="1249750",="423383",="423383",="423383",="423383",="423383",="423383",="423360",="423332",="423383",="423383",="423291",="423197",="1249686",="1249686",="1249686",="1249686",="423367",="423367",="423367",="423367",="423367",="423367",="423344",="423317",="423367",="423367",="423275",="423185"
="va_peer_controls",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y"
="reg_controls",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA",="base",="match VA"
="va_sample",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="va_control",="base",="base",="base",="base",="base",="base",="base",="base",="ACS",="ACS",="ACS",="ACS",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="base",="base",="base",="base",="ACS",="ACS",="ACS",="ACS",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="Y Mean",=".703",=".703",=".703",=".703",=".732",=".732",=".732",=".732",=".732",=".732",=".732",=".733",=".732",=".732",=".733",=".733",=".703",=".703",=".703",=".703",=".732",=".732",=".732",=".732",=".732",=".732",=".733",=".733",=".732",=".732",=".733",=".733"
="$ R^2 $",=".112",=".112",=".11",=".121",=".116",=".116",=".115",=".126",=".116",=".121",=".115",=".127",=".116",=".123",=".115",=".129",=".113",=".113",=".111",=".121",=".118",=".118",=".116",=".126",=".117",=".122",=".115",=".127",=".117",=".123",=".115",=".13"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
