="Regressing Enrollment on Both ELA and Math VA"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)"
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="est37",="est38",="est39",="est40",="est41",="est42",="est43",="est44",="est45",="est46",="est47",="est48"

="va_ela",="0.002",="0.002",="0.002",="0.002",="0.005",="0.005",="0.006*",="0.006*",="0.007*",="0.009**",="0.007*",="0.006*",="0.006*",="0.009**",="0.006*",="0.005*",="0.005",="0.005",="0.001",="0.000",="0.012**",="0.012**",="0.007",="0.006",="0.012**",="0.010*",="0.005",="0.004",="0.012**",="0.010*",="0.006",="0.004",="-0.004",="-0.004",="0.001",="0.001",="-0.007",="-0.007",="-0.001",="-0.001",="-0.005",="-0.001",="0.002",="0.003",="-0.006",="-0.001",="0.001",="0.001"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)"

="va_math",="0.027***",="0.027***",="0.013***",="0.012***",="0.021***",="0.021***",="0.009**",="0.008**",="0.015***",="0.012***",="0.006*",="0.005*",="0.015***",="0.012***",="0.006*",="0.007**",="-0.008*",="-0.008*",="-0.014***",="-0.013***",="-0.020***",="-0.020***",="-0.023***",="-0.021***",="-0.020***",="-0.017***",="-0.015***",="-0.014***",="-0.019***",="-0.016***",="-0.011**",="-0.008**",="0.035***",="0.035***",="0.027***",="0.025***",="0.041***",="0.041***",="0.032***",="0.029***",="0.035***",="0.029***",="0.021***",="0.019***",="0.034***",="0.028***",="0.018***",="0.015***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)"

="N",="1249529",="1249529",="1249529",="1249529",="423327",="423327",="423327",="423327",="423327",="423327",="423304",="423277",="423327",="423327",="423235",="423145",="1249529",="1249529",="1249529",="1249529",="423327",="423327",="423327",="423327",="423327",="423327",="423304",="423277",="423327",="423327",="423235",="423145",="1249529",="1249529",="1249529",="1249529",="423327",="423327",="423327",="423327",="423327",="423327",="423304",="423277",="423327",="423327",="423235",="423145"
="va_peer_controls",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y"
