="Regressing Enrollment on DK VA"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",=""
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer"

="va_dk_enr",="0.075***",="0.075***",="0.061***",="0.059***",="0.063***",="0.063***",="0.050***",="0.049***",="0.059***",="0.057***",="0.048***",="0.047***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="va_dk_enr_2year",="",="",="",="",="",="",="",="",="",="",="",="",="0.093***",="0.093***",="0.076***",="0.074***",="0.091***",="0.091***",="0.071***",="0.069***",="0.085***",="0.079***",="0.063***",="0.056***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="",="",="",="",="",="",="",="",="",="",="",=""

="va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.076***",="0.076***",="0.068***",="0.065***",="0.077***",="0.077***",="0.069***",="0.066***",="0.074***",="0.068***",="0.055***",="0.049***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.001)"

="N",="1251284",="1251284",="1251284",="1251284",="423628",="423628",="423628",="423628",="423628",="423628",="423543",="423445",="1251284",="1251284",="1251284",="1251284",="423628",="423628",="423628",="423628",="423628",="423628",="423543",="423445",="1251284",="1251284",="1251284",="1251284",="423628",="423628",="423628",="423628",="423628",="423628",="423543",="423445"
="va_peer_controls",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y"
="va_sample",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="va_control",="base",="base",="base",="base",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="Y Mean",=".703",=".703",=".703",=".703",=".732",=".732",=".732",=".732",=".732",=".732",=".733",=".733",=".375",=".375",=".375",=".375",=".36",=".36",=".36",=".36",=".36",=".36",=".36",=".36",=".328",=".328",=".328",=".328",=".372",=".372",=".372",=".372",=".372",=".372",=".373",=".373"
="$ R^2 $",=".133",=".133",=".127",=".136",=".133",=".133",=".127",=".137",=".132",=".138",=".126",=".14",=".0794",=".0794",=".0693",=".0791",=".0882",=".0882",=".0761",=".0883",=".0844",=".0911",=".0711",=".0929",=".256",=".256",=".251",=".256",=".261",=".261",=".256",=".261",=".259",=".271",=".249",=".273"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
