="ela specification and forecast bias tests results"

="",="sbac_g11_ela_r",="sbac_g11_ela_r_peer",="sbac_g11_ela_r",="sbac_g11_ela_r_peer",="sbac_g11_ela_r",="sbac_g11_ela_r_peer",="sbac_g11_ela_r",="sbac_g11_ela_r_peer"

="Specification Test:",="ref.",="",="ref.",="",="ref.",="",="ref.",=""

="va_cfr_g11_ela",="0.968",="",="1.005",="",="1.005",="",="1.006",=""
="",="(0.018)",="",="(0.026)",="",="(0.025)",="",="(0.025)",=""

="va_cfr_g11_ela_peer",="",="0.980",="",="1.011",="",="1.011",="",="1.009"
="",="",="(0.019)",="",="(0.028)",="",="(0.027)",="",="(0.027)"

="N",="1226212",="1226212",="409763",="409763",="409763",="409583",="409763",="409583"
="b_fb_score",="",="",="0.004",="-0.004",="",="",="",=""
="se_fb_score",="",="",="0.004",="0.004",="",="",="",=""
="b_fb_sibling",="",="",="0.001",="0.001",="",="",="",=""
="se_fb_sibling",="",="",="0.000",="0.000",="",="",="",=""
="b_fb_acs",="",="",="0.027",="0.004",="0.026",="0.004",="",=""
="se_fb_acs",="",="",="0.004",="0.002",="0.004",="0.001",="",=""
="b_fb_score_acs_sibling",="",="",="0.032",="0.001",="",="",="",=""
="se_fb_score_acs_sibling",="",="",="0.006",="0.004",="",="",="",=""
="sample",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="control",="base",="base",="base",="base",="leave out score & sibling",="leave out score & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="peer",="N",="Y",="N",="Y",="N",="Y",="N",="Y"

="Standard errors in parentheses"
