="enr specification and forecast bias tests results"

="",="g11_enr_r",="g11_enr_r_peer",="g11_enr_r",="g11_enr_r_peer",="g11_enr_r",="g11_enr_r_peer",="g11_enr_r",="g11_enr_r_peer"

="Specification Test:",="ref.",="",="ref.",="",="ref.",="",="ref.",=""

="va_cfr_g11_enr",="1.029",="",="1.068",="",="1.067",="",="1.083",=""
="",="(0.010)",="",="(0.018)",="",="(0.018)",="",="(0.020)",=""

="va_cfr_g11_enr_peer",="",="1.048",="",="1.082",="",="1.081",="",="1.080"
="",="",="(0.013)",="",="(0.022)",="",="(0.021)",="",="(0.023)"

="N",="1249303",="1249303",="423434",="423434",="423434",="423244",="423434",="423244"
="b_fb_score",="",="",="0.005",="-0.002",="",="",="",=""
="se_fb_score",="",="",="0.001",="0.001",="",="",="",=""
="b_fb_sibling",="",="",="0.003",="0.004",="",="",="",=""
="se_fb_sibling",="",="",="0.001",="0.001",="",="",="",=""
="b_fb_acs",="",="",="0.104",="0.008",="0.101",="0.010",="",=""
="se_fb_acs",="",="",="0.008",="0.004",="0.008",="0.003",="",=""
="b_fb_score_acs_sibling",="",="",="0.109",="0.010",="",="",="",=""
="se_fb_score_acs_sibling",="",="",="0.008",="0.004",="",="",="",=""
="sample",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="control",="base",="base",="base",="base",="leave out score & sibling",="leave out score & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="peer",="N",="Y",="N",="Y",="N",="Y",="N",="Y"

="Standard errors in parentheses"
