="enr_2year specification and forecast bias tests results"

="",="g11_enr_2year_r",="g11_enr_2year_r_peer",="g11_enr_2year_r",="g11_enr_2year_r_peer",="g11_enr_2year_r",="g11_enr_2year_r_peer",="g11_enr_2year_r",="g11_enr_2year_r_peer"

="Specification Test:",="ref.",="",="ref.",="",="ref.",="",="ref.",=""

="va_cfr_g11_enr_2year",="0.983",="",="0.988",="",="0.989",="",="0.993",=""
="",="(0.006)",="",="(0.008)",="",="(0.008)",="",="(0.010)",=""

="va_cfr_g11_enr_2year_peer",="",="0.987",="",="0.989",="",="1.016",="",="1.021"
="",="",="(0.008)",="",="(0.012)",="",="(0.019)",="",="(0.020)"

="N",="1249303",="1249303",="423434",="423434",="423434",="423244",="423434",="423244"
="b_fb_score",="",="",="0.001",="0.002",="",="",="",=""
="se_fb_score",="",="",="0.001",="0.001",="",="",="",=""
="b_fb_sibling",="",="",="0.020",="0.020",="",="",="",=""
="se_fb_sibling",="",="",="0.001",="0.001",="",="",="",=""
="b_fb_acs",="",="",="0.145",="0.039",="0.144",="0.033",="",=""
="se_fb_acs",="",="",="0.009",="0.007",="0.009",="0.007",="",=""
="b_fb_score_acs_sibling",="",="",="0.162",="0.059",="",="",="",=""
="se_fb_score_acs_sibling",="",="",="0.009",="0.006",="",="",="",=""
="sample",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="control",="base",="base",="base",="base",="leave out score & sibling",="leave out score & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="peer",="N",="Y",="N",="Y",="N",="Y",="N",="Y"

="Standard errors in parentheses"
