="Regressing Enrollment on DK VA, Heterogeneity by Prior ela score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer"

="1.prior_ela_z_score_xtile#c.va_dk_enr",="0.090***",="0.075***",="0.084***",="0.065***",="0.077***",="0.062***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.005)",="",="",="",="",="",="",="",="",="",="",="",=""

="2.prior_ela_z_score_xtile#c.va_dk_enr",="0.090***",="0.075***",="0.080***",="0.064***",="0.075***",="0.062***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="3.prior_ela_z_score_xtile#c.va_dk_enr",="0.086***",="0.071***",="0.074***",="0.058***",="0.070***",="0.056***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="4.prior_ela_z_score_xtile#c.va_dk_enr",="0.080***",="0.067***",="0.071***",="0.057***",="0.067***",="0.054***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="5.prior_ela_z_score_xtile#c.va_dk_enr",="0.078***",="0.063***",="0.066***",="0.052***",="0.063***",="0.050***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="6.prior_ela_z_score_xtile#c.va_dk_enr",="0.073***",="0.059***",="0.062***",="0.048***",="0.059***",="0.047***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="7.prior_ela_z_score_xtile#c.va_dk_enr",="0.069***",="0.054***",="0.060***",="0.047***",="0.057***",="0.046***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",=""

