="Regressing Enrollment on DK VA, Heterogeneity by Prior math score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer"

="1.prior_math_z_score_xtile#c.va_dk_enr",="0.084***",="0.073***",="0.075***",="0.061***",="0.070***",="0.059***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="",="",="",="",="",="",="",="",="",="",="",=""

="2.prior_math_z_score_xtile#c.va_dk_enr",="0.089***",="0.076***",="0.078***",="0.064***",="0.075***",="0.062***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="3.prior_math_z_score_xtile#c.va_dk_enr",="0.088***",="0.074***",="0.079***",="0.064***",="0.075***",="0.061***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="4.prior_math_z_score_xtile#c.va_dk_enr",="0.084***",="0.069***",="0.072***",="0.058***",="0.069***",="0.056***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="5.prior_math_z_score_xtile#c.va_dk_enr",="0.079***",="0.063***",="0.069***",="0.055***",="0.065***",="0.052***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="6.prior_math_z_score_xtile#c.va_dk_enr",="0.077***",="0.062***",="0.067***",="0.050***",="0.062***",="0.048***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="7.prior_math_z_score_xtile#c.va_dk_enr",="0.069***",="0.055***",="0.059***",="0.047***",="0.056***",="0.045***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

